DATE,OPEN,HIGH,LOW,CLOSE ,VOLUME
11/6/2001,51.0677,51.4531,49.8633,50.5859,6245972
11/7/2001,51.1641,51.3568,49.3911,49.9307,4128754
11/8/2001,49.9115,50.5763,48.5336,50.2391,7702816
11/9/2001,50.7786,51.3471,50.162,50.8846,6412776
11/12/2001,51.0484,51.9156,50.7401,51.299,5142674
11/13/2001,51.2604,51.9349,50.7401,51.7326,5951852
11/14/2001,52.3974,52.9466,52.2529,52.6479,2285396
11/15/2001,52.6094,53.9005,52.4167,53.5826,5802750
11/19/2001,54.7484,58.9495,54.7484,58.8242,13161572
11/20/2001,59.7396,59.9323,55.5,56.0878,8215336
11/21/2001,56.2708,58.2461,55.4036,56.7333,7522344
11/22/2001,56.849,57.5042,55.9047,56.2516,5836654
11/23/2001,56.2708,57.138,54.8737,56.2516,6678686
11/26/2001,56.9839,58.1401,56.7044,57.5427,6797546
11/27/2001,58.1979,58.7568,56.0396,56.5021,5144506
11/28/2001,56.5021,56.7044,54.9797,55.9914,6000580
11/29/2001,55.8854,56.2323,55.1146,55.8758,4520886
12/3/2001,56.0974,56.5984,55.1146,55.9721,4963368
12/4/2001,56.2708,58.0052,56.0781,57.5234,6382470
12/5/2001,58.8049,60.8573,58.5833,60.3755,8468174
12/6/2001,61.6667,62.5339,58.988,59.7299,9014194
12/7/2001,59.7396,60.8573,59.7396,60.125,5631966
12/10/2001,59.9323,61.657,59.9323,60.7128,3810374
12/11/2001,60.7031,61.2523,59.5565,59.8263,4273496
12/12/2001,60.3177,61.6474,59.5661,59.9323,4735058
12/13/2001,60.2695,61.474,56.9742,59.9323,10685704
12/14/2001,59.9323,60.125,58.8242,59.7974,3473004
12/18/2001,59.7396,60.6164,58.3135,59.5758,4010856
12/19/2001,60.4911,60.4911,59.1615,59.4891,6613464
12/20/2001,59.4505,60.125,58.3135,59.7974,4569132
12/21/2001,58.776,60.0286,58.776,59.807,2613620
12/24/2001,58.9688,60.2021,58.776,59.8745,2569668
12/26/2001,59.7203,60.3177,58.4677,59.1229,1726906
12/27/2001,58.776,59.0555,57.4656,58.2461,6631820
12/28/2001,57.8125,58.7568,55.7313,58.1786,5495700
12/31/2001,58.5833,59.518,57.5427,59.0073,3010818
1/1/2002,58.7568,59.5276,58.3135,58.776,1786994
1/2/2002,58.593,58.9688,58.0052,58.5062,1774810
1/3/2002,58.776,59.1518,56.8971,57.1284,4094924
1/4/2002,58.0052,62.7747,57.4271,61.869,11617880
1/7/2002,61.474,63.6997,61.1464,61.6667,7878890
1/8/2002,61.869,62.6302,60.8187,61.2523,4267796
1/9/2002,61.6667,64.6536,60.9151,63.2758,16188302
1/10/2002,63.613,64.4898,61.975,62.5628,6360668
1/11/2002,63.0156,64.5573,61.2909,62.9771,7832912
1/14/2002,63.7865,66.2917,62.1003,62.7651,12160470
1/15/2002,62.6109,63.3818,61.7341,62.1966,4296000
1/16/2002,62.6495,62.9193,60.9151,61.7148,3368092
1/17/2002,61.0885,62.2352,60.8091,61.4161,5067544
1/18/2002,63.5745,63.5745,59.4505,60.0479,6020890
1/21/2002,60.3177,60.838,59.9323,60.2021,2753574
1/22/2002,60.125,61.4354,59.5565,60.2406,5085280
1/23/2002,60.125,61.0693,59.8841,60.6357,3049996
1/24/2002,60.7995,61.0885,60.0286,60.4237,2184614
1/25/2002,60.6935,60.7031,60.125,60.6646,1585550
1/28/2002,60.8958,62.4375,60.2503,60.5971,6096778
1/29/2002,60.8958,61.368,60.4911,61.0115,3894394
1/30/2002,60.6839,61.2813,59.5854,60.5201,3690872
1/31/2002,61.8594,61.8594,57.35,57.8318,17579838
2/1/2002,57.9378,58.8531,57.4464,57.9378,11586838
2/4/2002,59.0651,59.0651,57.1669,58.3521,4974548
2/5/2002,57.4271,58.1979,56.2901,56.637,8497802
2/6/2002,56.849,57.3307,55.9529,56.213,11393800
2/7/2002,56.2708,61.262,56.2612,59.3445,21057322
2/8/2002,59.3542,60.6068,59.0073,59.9708,11088162
2/11/2002,60.5104,61.0885,59.1807,59.4698,6303244
2/12/2002,59.7396,60.6068,59.2964,59.5854,7499220
2/13/2002,59.7396,60.3177,59.5951,59.7396,8783232
2/14/2002,60.2021,60.9729,59.7589,60.0383,5206906
2/15/2002,60.3177,61.6281,59.9612,60.8187,12909310
2/18/2002,61.2813,62.0135,60.9536,61.4258,9221902
2/19/2002,61.7052,62.2448,61.3776,61.8305,7414144
2/20/2002,61.1849,61.368,60.3466,61.0982,4794176
2/21/2002,61.3583,61.8594,60.2214,60.5875,3664586
2/22/2002,60.3177,60.7706,60.2406,60.6839,2161944
2/25/2002,60.7417,61.0404,60.3177,60.6453,2241754
2/26/2002,61.1656,62.4375,60.8187,61.9268,7494380
2/27/2002,62.4375,63.6419,61.3294,62.7747,18717966
2/28/2002,62.9771,63.4685,58.7857,59.3253,15503530
3/1/2002,59.3542,62.5724,58.8242,62.1099,11716322
3/4/2002,64.3646,65.5208,60.125,60.443,29426188
3/5/2002,61.474,61.551,60.1443,60.4622,11347532
3/6/2002,59.3542,61.9557,59.0458,59.2867,8645856
3/7/2002,59.7396,60.2021,59.094,59.9901,5685310
3/8/2002,60.1057,60.6068,58.9013,59.1518,4732352
3/11/2002,59.6336,59.6336,57.244,57.5138,10322804
3/12/2002,57.6005,57.7065,56.1745,56.319,6779856
3/13/2002,56.4635,57.5427,56.2708,56.5888,7186470
3/14/2002,57.244,57.5042,56.7141,57.3307,4103776
3/15/2002,57.4753,59.6336,57.4753,59.3638,10924098
3/18/2002,59.8745,60.2792,58.7953,59.1036,5344314
3/19/2002,59.1615,59.2964,57.4753,57.7354,4238646
3/20/2002,58.0052,58.7471,57.5234,58.5352,6127678
3/21/2002,58.1979,58.7086,58.0245,58.4966,2988806
3/22/2002,57.7932,58.699,57.2536,58.5448,4965400
3/26/2002,58.275,58.2943,57.5812,57.8125,3267836
3/27/2002,58.3714,58.4677,56.8201,57.8318,6085830
3/28/2002,58.0052,58.4388,57.3404,57.8703,7808834
4/1/2002,58.1305,59.412,57.6776,58.2268,6532350
4/2/2002,57.9089,58.6315,57.9089,58.4966,3896916
4/3/2002,58.4773,58.4773,57.3404,57.6102,2734898
4/4/2002,57.9089,61.6474,57.9089,58.8435,25626706
4/5/2002,59.0169,59.9323,58.776,58.9109,8621668
4/8/2002,59.2096,59.3927,58.2076,58.3906,4467050
4/9/2002,58.487,58.6122,57.6583,57.8414,3666644
4/10/2002,57.8125,58.2365,56.7333,57.0898,6926610
4/11/2002,57.456,57.8992,56.9068,57.1477,2095654
4/12/2002,57.2055,57.774,56.9549,57.4753,2652406
4/15/2002,57.4271,57.7836,56.531,56.743,1681498
4/16/2002,56.6563,56.9164,55.3747,55.7023,3912564
